Strip ID	ycenter	ymin	ymax
1		-995.0	-1020	-970
2		-944.0	-969	-919
3		-893.0	-918	-868
4		-842.0	-867	-817
5		-791.0	-816	-766
6		-740.0	-765	-715
7		-689.0	-714	-664
8		-638.0	-663	-613
9		-587.0	-612	-562
10		-536.0	-561	-511
11		-485.0	-510	-460
12		-434.0	-459	-409
13		-383.0	-408	-358
14		-332.0	-357	-307
15		-281.0	-306	-256
16		-230.0	-255	-205
17		-179.0	-204	-154
18		-128.0	-153	-103
19		-77.0	-102	-52
20		-26.0	-51	-1
21		25.0	0	50
22		76.0	51	101
23		127.0	102	152
24		178.0	153	203
25		229.0	204	254
26		280.0	255	305
27		331.0	306	356
28		382.0	357	407
29		433.0	408	458
30		484.0	459	509
31		535.0	510	560
32		586.0	561	611
33		637.0	612	662
34		688.0	663	713
35		739.0	714	764
36		790.0	765	815
37		841.0	816	866
38		892.0	867	917
39		943.0	918	968
40		994.0	969	1019
