# Cosmic-ray-induced Differential Neutron Flux for reference conditions (sea level, New York City, mid-level solar activity, outdoors)
# Source: Standard JESD89a, JEDEC Solid State Technology Association (October 2006)
# neutron energy (MeV)	differential flux (1/(cm^2 s MeV))
 1.05400000e+00 	6.83000000e-04
 1.16500000e+00 	8.19000000e-04
 1.28700000e+00 	7.61000000e-04
 1.42300000e+00 	7.02000000e-04
 1.57200000e+00 	6.00000000e-04
 1.73800000e+00 	5.72000000e-04
 1.92000000e+00 	5.06000000e-04
 2.12200000e+00 	5.02000000e-04
 2.34600000e+00 	5.44000000e-04
 2.59200000e+00 	4.30000000e-04
 2.86500000e+00 	3.34000000e-04
 3.16600000e+00 	2.65000000e-04
 3.49900000e+00 	1.86000000e-04
 3.86700000e+00 	1.64000000e-04
 4.27400000e+00 	1.73000000e-04
 4.72400000e+00 	1.88000000e-04
 5.22000000e+00 	1.53000000e-04
 5.76900000e+00 	1.25000000e-04
 6.37600000e+00 	1.16000000e-04
 7.04700000e+00 	8.90000000e-05
 7.78800000e+00 	7.16000000e-05
 8.60700000e+00 	6.73000000e-05
 9.51200000e+00 	5.53000000e-05
 1.05100000e+01 	4.58000000e-05
 1.16200000e+01 	4.09000000e-05
 1.28400000e+01 	3.80000000e-05
 1.41900000e+01 	3.44000000e-05
 1.61600000e+01 	3.02000000e-05
 1.85200000e+01 	3.22000000e-05
 2.57000000e+01 	2.59000000e-05
 4.41900000e+01 	2.09000000e-05
 7.59800000e+01 	1.53000000e-05
 1.30700000e+02 	9.64000000e-06
 2.24600000e+02 	4.30000000e-06
 3.86300000e+02 	1.33000000e-06
 6.64200000e+02 	3.99000000e-07
 1.14200000e+03 	1.02000000e-07
 1.96400000e+03 	2.24000000e-08
 3.37600000e+03 	3.36000000e-09
 5.80500000e+03 	4.71000000e-10
 9.98200000e+03 	9.87000000e-11
 1.71600000e+04 	3.83000000e-11
 2.95100000e+04 	8.60000000e-12
 5.07400000e+04 	2.17000000e-12
 8.72500000e+04 	6.97000000e-13
 1.50000000e+05 	1.88000000e-13
